Station,Depth,Species,Colony_Number,Frag_ID,Tag_ID,Timepoint,Date,Photo,Mortality_%,Notes
521D,Deep,PCOM,98,98_18,G_025,0,9/12/2024,Y,0,
521D,Deep,PCOM,1112,1112_3,G_002,0,9/12/2024,Y,0,
521D,Deep,PCOM,1109,1109_9,G_023,0,9/12/2024,N,MISSING,MISSING
521D,Deep,PCOM,997,997_4,G_076,0,9/12/2024,Y,0,
521D,Deep,PCOM,1105,1105_11,G_079,0,9/12/2024,Y,0,
521D,Deep,PCOM,98,98_1,G_006,0,9/12/2024,N,MISSING,MISSING
521D,Deep,PCOM,1113,1113_7,G_080,0,9/12/2024,N,MISSING,MISSING
521D,Deep,PRUS,97,97_13,P_083,0,9/12/2024,Y,75,
521D,Deep,PRUS,77,77_12,P_075,0,9/12/2024,Y,0,
521D,Deep,PRUS,86,86_2,P_012,0,9/12/2024,N,MISSING,MISSING
521D,Deep,PRUS,79,79_17,P_009,0,9/12/2024,Y,0,
521D,Deep,PRUS,69,69_21,P_064,0,9/12/2024,N,MISSING,MISSING
521D,Deep,PRUS,87,87_22,P_065,0,9/12/2024,Y,50,
521D,Deep,PRUS,96,96_23,P_091,0,9/12/2024,Y,50,
521D,Deep,PRUS,68,68_24,P_015,0,9/12/2024,Y,0,
521D,Deep,PRUS,1107,1107_5,P_067,0,9/12/2024,N,MISSING,MISSING
521D,Deep,PRUS,78,78_22,P_071,0,9/12/2024,N,100,DEAD
522D,Deep,PCOM,997,997_17,G_019,0,9/12/2024,Y,0,
522D,Deep,PCOM,1110,1110_3,G_031,0,9/12/2024,N,100,DEAD
522D,Deep,PCOM,1000,1000_12,G_011,0,9/12/2024,Y,0,
522D,Deep,PCOM,1109,1109_3,G_033,0,9/12/2024,Y,0,
522D,Deep,PCOM,1105,1105_12,G_012,0,9/12/2024,Y,0,
522D,Deep,PCOM,1112,1112_12,G_018,0,9/12/2024,Y,0,
522D,Deep,PCOM,98,98_23,G_029,0,9/12/2024,N,MISSING,MISSING
522D,Deep,PCOM,1108,1108_1,G_055,0,9/12/2024,Y,0,
522D,Deep,PRUS,69,69_5,P_005,0,9/12/2024,Y,0,
522D,Deep,PRUS,86,86_22,P_099,0,9/12/2024,Y,50,
522D,Deep,PRUS,87,87_7,P_066,0,9/12/2024,Y,0,
522D,Deep,PRUS,68,68_14,P_041,0,9/12/2024,Y,0,
522D,Deep,PRUS,97,97_15,P_057,0,9/12/2024,Y,50,
522D,Deep,PRUS,1107,1107_3,P_005,0,9/12/2024,N,MISSING,MISSING
522D,Deep,PRUS,96,96_7,P_092,0,9/12/2024,Y,25,
522D,Deep,PRUS,79,79_2,P_089,0,9/12/2024,Y,0,
522D,Deep,PRUS,77,77_9,P_078,0,9/12/2024,Y,50,
523D,Deep,PCOM,1112,1112_10,G_073,0,9/12/2024,Y,0,
523D,Deep,PCOM,1000,1000_3,G_035,0,9/12/2024,N,MISSING,MISSING
523D,Deep,PCOM,1110,1110_5,G_081,0,9/12/2024,Y,0,
523D,Deep,PCOM,1109,1109_5,G_057,0,9/12/2024,Y,0,
